,object,saccade_id,sim,pos.x,pos.y,goal.y,goal.x,ts,rot,trial,saccade_num
1483,square,0000-0008,sweep_m8d4_decaying-speed-4-0-local-decaying-speed-1-0-match-std-8-0_000103,40.0,40.0,2.0,7.0,8,34.37746770784939,square-0-6,79
1484,square,0000-0012,sweep_m8d4_decaying-speed-4-0-local-decaying-speed-1-0-match-std-8-0_000103,40.0,40.0,8.0,3.0,12,34.37746770784939,square-0-6,80
1485,square,0000-0016,sweep_m8d4_decaying-speed-4-0-local-decaying-speed-1-0-match-std-8-0_000103,40.0,40.0,2.0,0.0,16,34.37746770784939,square-0-6,81
1486,square,0000-0020,sweep_m8d4_decaying-speed-4-0-local-decaying-speed-1-0-match-std-8-0_000103,40.0,40.0,2.0,7.0,20,34.37746770784939,square-0-6,82
1487,square,0000-0024,sweep_m8d4_decaying-speed-4-0-local-decaying-speed-1-0-match-std-8-0_000103,40.0,40.0,8.0,3.0,24,34.37746770784939,square-0-6,83
1488,square,0000-0028,sweep_m8d4_decaying-speed-4-0-local-decaying-speed-1-0-match-std-8-0_000103,40.0,40.0,2.0,0.0,28,34.37746770784939,square-0-6,84
1489,square,0000-0032,sweep_m8d4_decaying-speed-4-0-local-decaying-speed-1-0-match-std-8-0_000103,40.0,40.0,2.0,7.0,32,34.37746770784939,square-0-6,85
1490,square,0000-0036,sweep_m8d4_decaying-speed-4-0-local-decaying-speed-1-0-match-std-8-0_000103,40.0,40.0,8.0,3.0,36,34.37746770784939,square-0-6,86
1491,square,0000-0040,sweep_m8d4_decaying-speed-4-0-local-decaying-speed-1-0-match-std-8-0_000103,40.0,40.0,2.0,0.0,40,34.37746770784939,square-0-6,87
1492,square,0000-0044,sweep_m8d4_decaying-speed-4-0-local-decaying-speed-1-0-match-std-8-0_000103,40.0,40.0,2.0,7.0,44,34.37746770784939,square-0-6,88
1493,square,0000-0048,sweep_m8d4_decaying-speed-4-0-local-decaying-speed-1-0-match-std-8-0_000103,40.0,40.0,8.0,3.0,48,34.37746770784939,square-0-6,89
1494,square,0000-0052,sweep_m8d4_decaying-speed-4-0-local-decaying-speed-1-0-match-std-8-0_000103,40.0,40.0,2.0,0.0,52,34.37746770784939,square-0-6,90
1495,square,0000-0056,sweep_m8d4_decaying-speed-4-0-local-decaying-speed-1-0-match-std-8-0_000103,40.0,40.0,2.0,7.0,56,34.37746770784939,square-0-6,91
1496,square,0000-0060,sweep_m8d4_decaying-speed-4-0-local-decaying-speed-1-0-match-std-8-0_000103,40.0,40.0,8.0,3.0,60,34.37746770784939,square-0-6,92
1497,square,0000-0064,sweep_m8d4_decaying-speed-4-0-local-decaying-speed-1-0-match-std-8-0_000103,40.0,40.0,2.0,0.0,64,34.37746770784939,square-0-6,93
1498,square,0000-0068,sweep_m8d4_decaying-speed-4-0-local-decaying-speed-1-0-match-std-8-0_000103,40.0,40.0,2.0,7.0,68,34.37746770784939,square-0-6,94
1499,square,0000-0072,sweep_m8d4_decaying-speed-4-0-local-decaying-speed-1-0-match-std-8-0_000103,40.0,40.0,8.0,3.0,72,34.37746770784939,square-0-6,95
1500,square,0000-0076,sweep_m8d4_decaying-speed-4-0-local-decaying-speed-1-0-match-std-8-0_000103,40.0,40.0,2.0,0.0,76,34.37746770784939,square-0-6,96
1501,square,0000-0080,sweep_m8d4_decaying-speed-4-0-local-decaying-speed-1-0-match-std-8-0_000103,40.0,40.0,2.0,7.0,80,34.37746770784939,square-0-6,97
1502,square,0000-0084,sweep_m8d4_decaying-speed-4-0-local-decaying-speed-1-0-match-std-8-0_000103,40.0,40.0,8.0,3.0,84,34.37746770784939,square-0-6,98
1503,square,0000-0088,sweep_m8d4_decaying-speed-4-0-local-decaying-speed-1-0-match-std-8-0_000103,40.0,40.0,2.0,0.0,88,34.37746770784939,square-0-6,99
1504,square,0000-0092,sweep_m8d4_decaying-speed-4-0-local-decaying-speed-1-0-match-std-8-0_000103,40.0,40.0,2.0,7.0,92,34.37746770784939,square-0-6,100
1505,square,0000-0096,sweep_m8d4_decaying-speed-4-0-local-decaying-speed-1-0-match-std-8-0_000103,40.0,40.0,8.0,3.0,96,34.37746770784939,square-0-6,101
1506,square,0000-0100,sweep_m8d4_decaying-speed-4-0-local-decaying-speed-1-0-match-std-8-0_000103,40.0,40.0,2.0,0.0,100,34.37746770784939,square-0-6,102
1507,square,0000-0104,sweep_m8d4_decaying-speed-4-0-local-decaying-speed-1-0-match-std-8-0_000103,40.0,40.0,2.0,7.0,104,34.37746770784939,square-0-6,103
1508,square,0000-0108,sweep_m8d4_decaying-speed-4-0-local-decaying-speed-1-0-match-std-8-0_000103,40.0,40.0,8.0,3.0,108,34.37746770784939,square-0-6,104
1509,square,0000-0112,sweep_m8d4_decaying-speed-4-0-local-decaying-speed-1-0-match-std-8-0_000103,40.0,40.0,2.0,0.0,112,34.37746770784939,square-0-6,105
1510,square,0000-0116,sweep_m8d4_decaying-speed-4-0-local-decaying-speed-1-0-match-std-8-0_000103,40.0,40.0,2.0,7.0,116,34.37746770784939,square-0-6,106
1511,square,0000-0120,sweep_m8d4_decaying-speed-4-0-local-decaying-speed-1-0-match-std-8-0_000103,40.0,40.0,8.0,3.0,120,34.37746770784939,square-0-6,107
1512,square,0000-0124,sweep_m8d4_decaying-speed-4-0-local-decaying-speed-1-0-match-std-8-0_000103,40.0,40.0,2.0,0.0,124,34.37746770784939,square-0-6,108
1513,square,0000-0128,sweep_m8d4_decaying-speed-4-0-local-decaying-speed-1-0-match-std-8-0_000103,40.0,40.0,2.0,7.0,128,34.37746770784939,square-0-6,109
1514,square,0000-0132,sweep_m8d4_decaying-speed-4-0-local-decaying-speed-1-0-match-std-8-0_000103,40.0,40.0,8.0,3.0,132,34.37746770784939,square-0-6,110
1515,square,0000-0136,sweep_m8d4_decaying-speed-4-0-local-decaying-speed-1-0-match-std-8-0_000103,40.0,40.0,2.0,0.0,136,34.37746770784939,square-0-6,111
1516,square,0000-0140,sweep_m8d4_decaying-speed-4-0-local-decaying-speed-1-0-match-std-8-0_000103,40.0,40.0,2.0,7.0,140,34.37746770784939,square-0-6,112
1517,square,0000-0144,sweep_m8d4_decaying-speed-4-0-local-decaying-speed-1-0-match-std-8-0_000103,40.0,40.0,8.0,3.0,144,34.37746770784939,square-0-6,113
1518,square,0000-0148,sweep_m8d4_decaying-speed-4-0-local-decaying-speed-1-0-match-std-8-0_000103,40.0,40.0,2.0,0.0,148,34.37746770784939,square-0-6,114
1519,square,0000-0152,sweep_m8d4_decaying-speed-4-0-local-decaying-speed-1-0-match-std-8-0_000103,40.0,40.0,2.0,7.0,152,34.37746770784939,square-0-6,115
