,world,position,angle,saccade_id,goal,sim,pos.x,pos.y,goal.x,goal.y,saccade,rot
81,square,[20. 20.],0.0,0000-0004,[[5. 9.]],s_1_m_08000_a_02000_d_03000_l_02000,20.0,20.0,5.0,9.0,4,0.0
82,square,[20. 20.],0.0,0000-0008,[[7. 3.]],s_1_m_08000_a_02000_d_03000_l_02000,20.0,20.0,7.0,3.0,8,0.0
83,square,[20. 20.],0.0,0000-0012,[[5. 9.]],s_1_m_08000_a_02000_d_03000_l_02000,20.0,20.0,5.0,9.0,12,0.0
84,square,[20. 20.],0.0,0000-0016,[[7. 3.]],s_1_m_08000_a_02000_d_03000_l_02000,20.0,20.0,7.0,3.0,16,0.0
85,square,[20. 20.],0.0,0000-0020,[[5. 9.]],s_1_m_08000_a_02000_d_03000_l_02000,20.0,20.0,5.0,9.0,20,0.0
86,square,[20. 20.],0.0,0000-0024,[[7. 3.]],s_1_m_08000_a_02000_d_03000_l_02000,20.0,20.0,7.0,3.0,24,0.0
87,square,[20. 20.],0.0,0000-0028,[[5. 9.]],s_1_m_08000_a_02000_d_03000_l_02000,20.0,20.0,5.0,9.0,28,0.0
88,square,[20. 20.],0.0,0000-0032,[[7. 3.]],s_1_m_08000_a_02000_d_03000_l_02000,20.0,20.0,7.0,3.0,32,0.0
89,square,[20. 20.],0.0,0000-0036,[[5. 9.]],s_1_m_08000_a_02000_d_03000_l_02000,20.0,20.0,5.0,9.0,36,0.0
90,square,[20. 20.],0.0,0000-0040,[[7. 3.]],s_1_m_08000_a_02000_d_03000_l_02000,20.0,20.0,7.0,3.0,40,0.0
91,square,[20. 20.],0.0,0000-0044,[[5. 9.]],s_1_m_08000_a_02000_d_03000_l_02000,20.0,20.0,5.0,9.0,44,0.0
92,square,[20. 20.],0.0,0000-0048,[[7. 3.]],s_1_m_08000_a_02000_d_03000_l_02000,20.0,20.0,7.0,3.0,48,0.0
93,square,[20. 20.],0.0,0000-0052,[[5. 9.]],s_1_m_08000_a_02000_d_03000_l_02000,20.0,20.0,5.0,9.0,52,0.0
94,square,[20. 20.],0.0,0000-0056,[[7. 3.]],s_1_m_08000_a_02000_d_03000_l_02000,20.0,20.0,7.0,3.0,56,0.0
95,square,[20. 20.],0.0,0000-0060,[[5. 9.]],s_1_m_08000_a_02000_d_03000_l_02000,20.0,20.0,5.0,9.0,60,0.0
96,square,[20. 20.],0.0,0000-0064,[[7. 3.]],s_1_m_08000_a_02000_d_03000_l_02000,20.0,20.0,7.0,3.0,64,0.0
97,square,[20. 20.],0.0,0000-0068,[[5. 9.]],s_1_m_08000_a_02000_d_03000_l_02000,20.0,20.0,5.0,9.0,68,0.0
98,square,[20. 20.],0.0,0000-0072,[[7. 3.]],s_1_m_08000_a_02000_d_03000_l_02000,20.0,20.0,7.0,3.0,72,0.0
99,square,[20. 20.],0.0,0000-0076,[[5. 9.]],s_1_m_08000_a_02000_d_03000_l_02000,20.0,20.0,5.0,9.0,76,0.0
100,triangle,[20. 20.],0.8,0000-0000,[[8. 5.]],s_1_m_08000_a_02000_d_03000_l_02000,20.0,20.0,8.0,5.0,0,45.83662361046586
101,triangle,[20. 20.],0.8,0000-0004,[[2. 0.]],s_1_m_08000_a_02000_d_03000_l_02000,20.0,20.0,2.0,0.0,4,45.83662361046586
